# time  ID  size  fromHost  toHost  TTL  isResponse
10635.0000 M141 68721 s22 d0 300 N 
10724.0000 M142 53029 s27 d0 300 N 
10809.0000 M143 51567 s19 d0 300 N 
10874.0000 M144 64851 s15 d0 300 N 
10939.0000 M145 74739 s24 d0 300 N 
11008.0000 M146 59072 s36 d0 300 N 
11085.0000 M147 89088 s40 d0 300 N 
11161.0000 M148 87512 s42 d0 300 N 
11223.0000 M149 81262 s24 d0 300 N 
11296.0000 M150 72553 s33 d0 300 N 
11358.0000 M151 67772 s30 d0 300 N 
11432.0000 M152 76370 s17 d0 300 N 
11496.0000 M153 51798 s36 d0 300 N 
11585.0000 M154 91925 s16 d0 300 N 
11647.0000 M155 72891 s26 d0 300 N 
11721.0000 M156 53518 s33 d0 300 N 
11782.0000 M157 84100 s33 d0 300 N 
11852.0000 M158 82174 s42 d0 300 N 
11939.0000 M159 68212 s41 d0 300 N 
12007.0000 M160 74342 s21 d0 300 N 
12069.0000 M161 98451 s24 d0 300 N 
12145.0000 M162 53880 s30 d0 300 N 
12207.0000 M163 56381 s27 d0 300 N 
12274.0000 M164 64169 s25 d0 300 N 
12363.0000 M165 72636 s27 d0 300 N 
12432.0000 M166 99177 s19 d0 300 N 
12516.0000 M167 67958 s32 d0 300 N 
12583.0000 M168 62443 s41 d0 300 N 
12648.0000 M169 55196 s30 d0 300 N 
12720.0000 M170 87760 s20 d0 300 N 
12781.0000 M171 83370 s20 d0 300 N 
12846.0000 M172 60878 s32 d0 300 N 
12912.0000 M173 88599 s15 d0 300 N 
12996.0000 M174 57078 s27 d0 300 N 
13069.0000 M175 66636 s18 d0 300 N 
13149.0000 M176 65115 s34 d0 300 N 
13224.0000 M177 73359 s30 d0 300 N 
13313.0000 M178 93385 s35 d0 300 N 
13373.0000 M179 84226 s28 d0 300 N 
13459.0000 M180 87682 s24 d0 300 N 
13523.0000 M181 57726 s42 d0 300 N 
13608.0000 M182 72000 s23 d0 300 N 
13689.0000 M183 50680 s19 d0 300 N 
