# time  ID  size  fromHost  toHost  TTL  isResponse
22029.0000 M128 1000000 s37 d0 43200 N 
22233.0000 M129 1000000 s29 d0 43200 N 
22335.0000 M130 1000000 s19 d0 43200 N 
22591.0000 M131 1000000 s33 d0 43200 N 
22728.0000 M132 1000000 s17 d0 43200 N 
22962.0000 M133 1000000 s34 d0 43200 N 
23171.0000 M134 1000000 s17 d0 43200 N 
23241.0000 M135 1000000 s43 d0 43200 N 
23323.0000 M136 1000000 s30 d0 43200 N 
23430.0000 M137 1000000 s39 d0 43200 N 
23653.0000 M138 1000000 s21 d0 43200 N 
23842.0000 M139 1000000 s30 d0 43200 N 
23946.0000 M140 1000000 s37 d0 43200 N 
24010.0000 M141 1000000 s36 d0 43200 N 
24234.0000 M142 1000000 s37 d0 43200 N 
24324.0000 M143 1000000 s29 d0 43200 N 
24397.0000 M144 1000000 s15 d0 43200 N 
24463.0000 M145 1000000 s16 d0 43200 N 
24733.0000 M146 1000000 s23 d0 43200 N 
24824.0000 M147 1000000 s23 d0 43200 N 
25045.0000 M148 1000000 s44 d0 43200 N 
25260.0000 M149 1000000 s25 d0 43200 N 
25500.0000 M150 1000000 s38 d0 43200 N 
25798.0000 M151 1000000 s8 d0 43200 N 
26045.0000 M152 1000000 s39 d0 43200 N 
26282.0000 M153 1000000 s20 d0 43200 N 
26573.0000 M154 1000000 s8 d0 43200 N 
26823.0000 M155 1000000 s30 d0 43200 N 
27048.0000 M156 1000000 s22 d0 43200 N 
27347.0000 M157 1000000 s14 d0 43200 N 
27444.0000 M158 1000000 s21 d0 43200 N 
27614.0000 M159 1000000 s17 d0 43200 N 
27776.0000 M160 1000000 s15 d0 43200 N 
27924.0000 M161 1000000 s19 d0 43200 N 
28047.0000 M162 1000000 s32 d0 43200 N 
28254.0000 M163 1000000 s12 d0 43200 N 
28359.0000 M164 1000000 s39 d0 43200 N 
28651.0000 M165 1000000 s18 d0 43200 N 
28747.0000 M166 1000000 s17 d0 43200 N 
28870.0000 M167 1000000 s39 d0 43200 N 
28934.0000 M168 1000000 s32 d0 43200 N 
29081.0000 M169 1000000 s11 d0 43200 N 
29247.0000 M170 1000000 s31 d0 43200 N 
29513.0000 M171 1000000 s12 d0 43200 N 
29684.0000 M172 1000000 s19 d0 43200 N 
29827.0000 M173 1000000 s8 d0 43200 N 
29936.0000 M174 1000000 s42 d0 43200 N 
30161.0000 M175 1000000 s28 d0 43200 N 
30441.0000 M176 1000000 s24 d0 43200 N 
30636.0000 M177 1000000 s28 d0 43200 N 
30925.0000 M178 1000000 s20 d0 43200 N 
31085.0000 M179 1000000 s31 d0 43200 N 
31372.0000 M180 1000000 s10 d0 43200 N 
31457.0000 M181 1000000 s16 d0 43200 N 
31623.0000 M182 1000000 s42 d0 43200 N 
31718.0000 M183 1000000 s42 d0 43200 N 
31927.0000 M184 1000000 s34 d0 43200 N 
32216.0000 M185 1000000 s16 d0 43200 N 
32419.0000 M186 1000000 s30 d0 43200 N 
32500.0000 M187 1000000 s27 d0 43200 N 
32767.0000 M188 1000000 s17 d0 43200 N 
32911.0000 M189 1000000 s33 d0 43200 N 
33113.0000 M190 1000000 s44 d0 43200 N 
33278.0000 M191 1000000 s36 d0 43200 N 
33343.0000 M192 1000000 s43 d0 43200 N 
33445.0000 M193 1000000 s34 d0 43200 N 
33625.0000 M194 1000000 s32 d0 43200 N 
33739.0000 M195 1000000 s8 d0 43200 N 
34000.0000 M196 1000000 s14 d0 43200 N 
34237.0000 M197 1000000 s10 d0 43200 N 
34515.0000 M198 1000000 s15 d0 43200 N 
34603.0000 M199 1000000 s28 d0 43200 N 
34810.0000 M200 1000000 s23 d0 43200 N 
34934.0000 M201 1000000 s28 d0 43200 N 
35006.0000 M202 1000000 s26 d0 43200 N 
35265.0000 M203 1000000 s34 d0 43200 N 
35428.0000 M204 1000000 s40 d0 43200 N 
35640.0000 M205 1000000 s19 d0 43200 N 
35826.0000 M206 1000000 s28 d0 43200 N 
36091.0000 M207 1000000 s33 d0 43200 N 
36267.0000 M208 1000000 s12 d0 43200 N 
36329.0000 M209 1000000 s36 d0 43200 N 
36544.0000 M210 1000000 s20 d0 43200 N 
36824.0000 M211 1000000 s22 d0 43200 N 
36965.0000 M212 1000000 s15 d0 43200 N 
37189.0000 M213 1000000 s26 d0 43200 N 
37304.0000 M214 1000000 s19 d0 43200 N 
37571.0000 M215 1000000 s26 d0 43200 N 
37776.0000 M216 1000000 s36 d0 43200 N 
37991.0000 M217 1000000 s24 d0 43200 N 
38230.0000 M218 1000000 s35 d0 43200 N 
38490.0000 M219 1000000 s35 d0 43200 N 
38627.0000 M220 1000000 s40 d0 43200 N 
38895.0000 M221 1000000 s42 d0 43200 N 
39040.0000 M222 1000000 s28 d0 43200 N 
39312.0000 M223 1000000 s24 d0 43200 N 
39514.0000 M224 1000000 s44 d0 43200 N 
39739.0000 M225 1000000 s24 d0 43200 N 
39801.0000 M226 1000000 s30 d0 43200 N 
39873.0000 M227 1000000 s42 d0 43200 N 
40110.0000 M228 1000000 s43 d0 43200 N 
40384.0000 M229 1000000 s36 d0 43200 N 
40482.0000 M230 1000000 s42 d0 43200 N 
40654.0000 M231 1000000 s14 d0 43200 N 
40716.0000 M232 1000000 s26 d0 43200 N 
40787.0000 M233 1000000 s17 d0 43200 N 
40983.0000 M234 1000000 s18 d0 43200 N 
41134.0000 M235 1000000 s33 d0 43200 N 
41214.0000 M236 1000000 s20 d0 43200 N 
41388.0000 M237 1000000 s25 d0 43200 N 
41505.0000 M238 1000000 s41 d0 43200 N 
41777.0000 M239 1000000 s13 d0 43200 N 
41874.0000 M240 1000000 s21 d0 43200 N 
42116.0000 M241 1000000 s24 d0 43200 N 
42387.0000 M242 1000000 s20 d0 43200 N 
42583.0000 M243 1000000 s27 d0 43200 N 
42735.0000 M244 1000000 s27 d0 43200 N 
42936.0000 M245 1000000 s10 d0 43200 N 
43023.0000 M246 1000000 s15 d0 43200 N 
